Year          Team                 SOS         Record
2013   Cal Poly             229   16-13
2014   Cal Poly             121   11-19
2015   Cal Poly             165   11-16
2016   Cal Poly             121   8-20
2017   Cal Poly             287   9-20
2010   Cal St. Fullerton    235   16-15
2011   Cal St. Fullerton    316   10-20
2012   Cal St. Fullerton    319   19-9
2013   Cal St. Fullerton    314   12-18
2014   Cal St. Fullerton    280   11-20
2015   Cal St. Fullerton    262   7-22
2016   Cal St. Fullerton    272   8-20
2017   Cal St. Fullerton    342   15-14
2010   Cal St. Northridge   184   11-21
2011   Cal St. Northridge   277   12-18
2012   Cal St. Northridge   309   5-21
2013   Cal St. Northridge   277   12-17
2014   Cal St. Northridge   297   15-18
2015   Cal St. Northridge    99   7-24
2016   Cal St. Northridge   231   8-20
2017   Cal St. Northridge   319   10-18
2010   California             8   23-10
2011   California            23   17-14
2012   California            79   24-9
2013   California            41   20-11
2014   California            38   19-13
2015   California            65   18-15
2016   California            16   23-10
2017   California            37   21-12
2010   Campbell             283   19-11
2011   Campbell             284   11-19
2012   Campbell             308   16-15
2013   Campbell             278   11-19
2014   Campbell             320   9-19
2015   Campbell             232   7-22
2016   Campbell             326   9-18
2017   Campbell             301   14-17
2010   Canisius             237   15-17
2011   Canisius             180   15-15
2012   Canisius             312   5-25
2013   Canisius             145   18-13
2014   Canisius             186   21-11
2015   Canisius             194   16-14
2016   Canisius             200   14-19
2017   Canisius             216   18-15
2010   Centenary (LA)       264   8-21
2011   Centenary (LA)       269   1-27
2010   Central Ark.         293   9-21
2011   Central Ark.         252   2-24
2012   Central Ark.         301   6-20
2013   Central Ark.         308   11-17
2014   Central Ark.         275   6-19
2015   Central Ark.         329   2-27
2016   Central Ark.         332   7-21
2017   Central Ark.         218   8-24
2010   Central Conn. St.    338   12-18
2011   Central Conn. St.    259   19-12
2012   Central Conn. St.   236   13-16
2013   Central Conn. St.   188   13-17
2014   Central Conn. St.   300   10-19
2015   Central Conn. St.   296   5-26
2016   Central Conn. St.   348   4-25
2017   Central Conn. St.   341   6-23
2010   Central Mich.       236   15-15
2011   Central Mich.       305   9-21
2012   Central Mich.       275   10-21
2013   Central Mich.       225   10-20
2014   Central Mich.       222   8-21
2015   Central Mich.       173   20-8
2016   Central Mich.       103   14-15
2017   Central Mich.       251   14-16
2010   Charleston So.      291   13-17
2011   Charleston So.      249   12-16
2012   Charleston So.      255   16-12
2013   Charleston So.      291   16-12
2014   Charleston So.      240   9-18
2015   Charleston So.      270   16-11
2016   Charleston So.      178   6-21
2017   Charleston So.      269   9-19
2010   Charlotte           106   19-12
2011   Charlotte           124   10-20
2012   Charlotte           138   13-17
2013   Charlotte           105   21-11
2014   Charlotte           151   17-14
2015   Charlotte           176   14-18
2016   Charlotte           230   14-19
2017   Charlotte           237   12-17
2010   Chattanooga         222   15-18
2011   Chattanooga         194   14-16
2012   Chattanooga         231   8-21
2013   Chattanooga         265   11-19
2014   Chattanooga         330   15-14
2015   Chattanooga         224   20-10
2016   Chattanooga         222   27-5
2017   Chattanooga         222   17-12
2010   Chicago St.         346   9-23
2011   Chicago St.         322   4-25
2012   Chicago St.         288   3-25
2013   Chicago St.         269   7-21
2014   Chicago St.     230   11-19
2015   Chicago St.     254   5-24
2016   Chicago St.     206   1-28
2017   Chicago St.     127   3-26
2010   Cincinnati       12   18-15
2011   Cincinnati      102   25-8
2012   Cincinnati       80   24-10
2013   Cincinnati       26   22-11
2014   Cincinnati       59   27-6
2015   Cincinnati       55   22-10
2016   Cincinnati       66   22-10
2017   Cincinnati       57   29-5
2010   Citadel         199   16-16
2011   Citadel         208   8-22
2012   Citadel         222   4-24
2013   Citadel         315   6-22
2014   Citadel         306   4-25
2015   Citadel         332   8-19
2016   Citadel         298   7-22
2017   Citadel         233   9-21
2010   Clemson          22   21-10
2011   Clemson          71   21-11
2012   Clemson         142   16-15
2013   Clemson         127   13-18
2014   Clemson          94   20-12
2015   Clemson          69   16-15
2016   Clemson         118   17-14
2017   Clemson          31   17-15
2010   Cleveland St.    78   16-17
2011   Cleveland St.   113   24-8
2012   Cleveland St.   134   21-10
2013   Cleveland St.   126   11-18
2014   Cleveland St.   136   19-11
2015   Cleveland St.   132   16-14
2016   Cleveland St.   128   7-23
2017   Cleveland St.   114   8-22
2010   Coastal Caro.   332   28-6
2011   Coastal Caro.   311   24-5
2012   Coastal Caro.   264   15-11
2013   Coastal Caro.   248   11-15
2014   Coastal Caro.   284   18-12
2015   Coastal Caro.   306   20-9
2016   Coastal Caro.        233   15-11
2017   Coastal Caro.         95   14-17
2010   Col. Of Charleston   173   21-11
2011   Col. of Charleston   152   24-10
2012   Col. of Charleston   145   19-12
2013   Col. of Charleston   258   24-9
2014   Col. of Charleston   207   13-18
2015   Col. of Charleston   207   9-24
2016   Col. of Charleston   120   16-14
2017   Col. of Charleston   138   24-9
2010   Colgate              271   10-19
2011   Colgate              262   7-23
2012   Colgate              240   8-22
2013   Colgate              227   11-21
2014   Colgate              256   12-18
2015   Colgate              189   15-17
2016   Colgate              273   12-17
2017   Colgate              282   9-22
2010   Colorado              33   15-16
2011   Colorado              60   20-13
2012   Colorado              72   21-11
2013   Colorado              23   21-11
2014   Colorado              18   23-11
2015   Colorado              48   15-17
2016   Colorado              47   21-11
2017   Colorado             111   18-14
2010   Colorado St.          96   16-15
2011   Colorado St.          29   18-12
2012   Colorado St.           7   19-11
2013   Colorado St.          49   23-8
2014   Colorado St.         119   14-16
2015   Colorado St.         108   26-6
2016   Colorado St.         167   16-16
2017   Colorado St.          82   21-11
2010   Columbia             230   11-17
2011   Columbia             228   14-13
2012   Columbia             164   13-15
2013   Columbia             289   10-16
2014   Columbia             161   18-12
2015   Columbia             106   12-15
2016   Columbia             195   19-10
2017   Columbia             275   10-16
2010   Coppin St.        323   8-22
2011   Coppin St.        328   13-14
2012   Coppin St.        326   10-16
2013   Coppin St.        260   7-24
2014   Coppin St.        218   11-20
2015   Coppin St.        242   7-23
2016   Coppin St.        307   7-22
2017   Coppin St.        321   7-23
2010   Cornell           209   27-4
2011   Cornell           123   10-18
2012   Cornell           103   11-16
2013   Cornell           279   12-18
2014   Cornell           118   1-26
2015   Cornell           223   12-17
2016   Cornell           169   9-18
2017   Cornell           177   7-21
2010   Creighton          85   16-15
2011   Creighton         131   19-14
2012   Creighton         114   28-5
2013   Creighton          87   27-7
2014   Creighton          22   26-7
2015   Creighton          71   14-19
2016   Creighton          92   18-14
2017   Creighton          45   24-9
2010   CSU Bakersfield   300   7-22
2011   CSU Bakersfield   298   9-19
2012   CSU Bakersfield   281   13-14
2013   CSU Bakersfield   242   10-16
2014   CSU Bakersfield   322   12-19
2015   CSU Bakersfield   309   11-19
2016   CSU Bakersfield   310   21-8
2017   CSU Bakersfield   171   19-9
2010   Dartmouth         208   5-23
2011   Dartmouth         192   5-23
2012   Dartmouth         220   4-25
2013   Dartmouth         244   8-19
2014   Dartmouth         252   10-16
2015   Dartmouth         221   14-14
2016   Dartmouth         214   9-18
2017   Dartmouth         234   7-20
2010   Davidson          137   16-15
2011   Davidson          254   16-14
2012   Davidson       165   24-7
2013   Davidson       177   25-7
2014   Davidson       182   19-12
2015   Davidson       113   23-7
2016   Davidson        57   19-12
2017   Davidson        69   17-15
2010   Dayton          26   20-12
2011   Dayton          63   22-13
2012   Dayton          75   20-12
2013   Dayton          99   17-14
2014   Dayton          56   23-10
2015   Dayton         103   25-8
2016   Dayton          46   25-7
2017   Dayton          70   23-7
2010   Delaware        53   7-24
2011   Delaware       107   14-17
2012   Delaware       237   18-13
2013   Delaware       175   19-14
2014   Delaware       191   25-9
2015   Delaware       156   10-20
2016   Delaware       147   7-23
2017   Delaware       183   11-20
2010   Delaware St.   282   17-12
2011   Delaware St.   278   7-21
2012   Delaware St.   321   13-14
2013   Delaware St.   326   13-18
2014   Delaware St.   307   7-21
2015   Delaware St.   268   16-17
2016   Delaware St.   308   5-25
2017   Delaware St.   338   8-22
2010   Denver         217   19-13
2011   Denver         223   13-17
2012   Denver         196   22-9
2013   Denver         139   21-9
2014   Denver         108   15-15
2015   Denver         130   12-18
2016   Denver         196   16-15
2017   Denver         297   16-14
2010   DePaul          38   8-23
2011   DePaul          53   7-24
2012   DePaul         130   12-19
2013   DePaul         112   11-21
2014   DePaul      36   12-21
2015   DePaul      97   12-20
2016   DePaul      73   9-22
2017   DePaul      84   9-23
2010   Detroit    234   20-14
2011   Detroit    147   16-16
2012   Detroit    184   20-13
2013   Detroit     86   18-12
2014   Detroit    165   11-19
2015   Detroit    142   13-18
2016   Detroit    223   14-15
2017   Detroit    166   7-23
2010   Drake      102   14-19
2011   Drake      183   13-18
2012   Drake      123   16-15
2013   Drake       85   14-17
2014   Drake      150   14-16
2015   Drake       91   8-22
2016   Drake      226   6-24
2017   Drake      153   6-23
2010   Drexel     141   16-16
2011   Drexel     155   21-10
2012   Drexel     229   27-6
2013   Drexel     179   13-18
2014   Drexel     158   16-14
2015   Drexel     188   11-18
2016   Drexel      69   6-24
2017   Drexel     258   8-23
2010   Duke        11   29-5
2011   Duke        24   30-4
2012   Duke         3   27-6
2013   Duke         1   27-5
2014   Duke         6   26-8
2015   Duke        13   29-4
2016   Duke         8   23-10
2017   Duke         6   27-8
2010   Duquesne    86   16-15
2011   Duquesne   134   17-12
2012   Duquesne    48   15-15
2013   Duquesne    89   8-22
2014   Duquesne   146   12-17
2015   Duquesne   111   11-19
2016   Duquesne        123   15-16
2017   Duquesne        157   10-22
2010   East Carolina   115   10-21
2011   East Carolina    38   15-15
2012   East Carolina    69   11-16
2013   East Carolina    77   14-12
2014   East Carolina   198   13-16
2015   East Carolina   137   12-19
2016   East Carolina   125   12-20
2017   East Carolina   163   15-18
2010   Eastern Ill.    218   19-12
2011   Eastern Ill.    273   7-20
2012   Eastern Ill.    316   10-17
2013   Eastern Ill.    247   11-20
2014   Eastern Ill.    269   9-19
2015   Eastern Ill.    171   15-14
2016   Eastern Ill.    278   11-17
2017   Eastern Ill.    328   12-15
2010   Eastern Ky.     215   20-12
2011   Eastern Ky.     327   13-16
2012   Eastern Ky.     262   14-16
2013   Eastern Ky.     153   22-9
2014   Eastern Ky.     224   22-9
2015   Eastern Ky.     260   17-11
2016   Eastern Ky.     207   14-16
2017   Eastern Ky.     178   10-19
2010   Eastern Mich.   245   17-15
2011   Eastern Mich.   276   6-22
2012   Eastern Mich.   294   13-18
2013   Eastern Mich.   220   13-18
2014   Eastern Mich.    76   18-14
2015   Eastern Mich.   181   17-13
2016   Eastern Mich.    58   14-15
2017   Eastern Mich.    88   12-17
2010   Eastern Wash.   161   9-21
2011   Eastern Wash.   202   8-20
2012   Eastern Wash.   228   13-17
2013   Eastern Wash.   312   10-21
2014   Eastern Wash.   220   13-16
2015   Eastern Wash.   206   23-8
2016   Eastern Wash.   334   15-15
2017   Eastern Wash.   303   20-11
2010   Elon                  197   9-23
2011   Elon                  308   11-17
2012   Elon                  274   13-16
2013   Elon                  305   19-11
2014   Elon                  200   16-13
2015   Elon                  294   13-18
2016   Elon                  130   14-16
2017   Elon                  213   16-14
2010   ETSU                  151   20-14
2011   ETSU                  168   21-11
2012   ETSU                  258   16-14
2013   ETSU                  191   9-22
2014   ETSU                  234   17-15
2015   ETSU                  191   14-14
2016   ETSU                  129   21-11
2017   ETSU                  182   25-7
2010   Evansville            129   9-21
2011   Evansville             96   14-15
2012   Evansville             81   15-15
2013   Evansville             97   17-14
2014   Evansville            120   12-19
2015   Evansville            139   18-12
2016   Evansville            186   24-9
2017   Evansville            101   14-17
2010   Fairfield             167   22-10
2011   Fairfield             264   24-7
2012   Fairfield             120   19-14
2013   Fairfield             263   19-15
2014   Fairfield             147   7-25
2015   Fairfield             125   7-24
2016   Fairfield             158   19-13
2017   Fairfield             231   16-14
2010   Fairleigh Dickinson   216   11-21
2011   Fairleigh Dickinson   257   5-24
2012   Fairleigh Dickinson   212   3-26
2013   Fairleigh Dickinson   222   7-24
2014   Fairleigh Dickinson   223   9-20
2015   Fairleigh Dickinson   284   7-21
2016   Fairleigh Dickinson   276   17-14
2017   Fairleigh Dickinson   267   10-19
2010   FGCU                  319   8-21
2011   FGCU                  250   10-20
2012   FGCU            211   14-17
2013   FGCU            202   22-10
2014   FGCU            257   20-12
2015   FGCU            258   19-10
2016   FGCU            290   16-13
2017   FGCU            240   23-7
2010   FIU             174   7-25
2011   FIU             216   9-19
2012   FIU             151   8-20
2013   FIU             133   18-14
2014   FIU             194   13-15
2015   FIU             269   14-17
2016   FIU             236   11-19
2017   FIU             247   5-24
2010   Fla. Atlantic   212   14-16
2011   Fla. Atlantic   220   19-10
2012   Fla. Atlantic   127   10-19
2013   Fla. Atlantic   214   13-18
2014   Fla. Atlantic   166   8-22
2015   Fla. Atlantic   211   7-20
2016   Fla. Atlantic   208   7-24
2017   Fla. Atlantic   221   8-20
2010   Florida          35   21-12
2011   Florida           3   26-7
2012   Florida          25   23-10
2013   Florida          15   26-7
2014   Florida          11   32-2
2015   Florida           4   16-17
2016   Florida          11   19-14
2017   Florida           7   24-8
2010   Florida A&M     314   9-22
2011   Florida A&M     332   8-20
2012   Florida A&M     296   8-23
2013   Florida A&M     310   6-23
2014   Florida A&M     333   12-18
2015   Florida A&M     342   2-27
2016   Florida A&M     344   6-21
2017   Florida A&M     350   5-23
2010   Florida St.      56   22-9
2011   Florida St.      90   21-10
2012   Florida St.       4   24-9
2013   Florida St.      44   18-15
2014   Florida St.     39   19-13
2015   Florida St.     72   17-16
2016   Florida St.     91   19-13
2017   Florida St.     19   25-8
2010   Fordham         98   2-26
2011   Fordham         83   7-21
2012   Fordham        136   10-19
2013   Fordham         76   7-24
2014   Fordham        100   10-21
2015   Fordham         87   9-21
2016   Fordham        205   16-13
2017   Fordham        136   12-19
2017   Fort Wayne     268   16-12
2010   Fresno St.     118   15-18
2011   Fresno St.     171   13-17
2012   Fresno St.     160   11-20
