Year          Team                 SOS         Record
2014   Presbyterian   341   4-26
2015   Presbyterian   218   6-22
2016   Presbyterian   313   8-20
2017   Presbyterian   279   3-25
2010   Princeton      301   20-8
2011   Princeton      185   24-6
2012   Princeton      116   17-11
2013   Princeton      160   16-11
2014   Princeton      308   19-8
2015   Princeton      229   15-14
2016   Princeton      132   21-6
2017   Princeton      132   22-6
2010   Providence      29   12-19
2011   Providence      91   15-17
2012   Providence     121   15-17
2013   Providence      66   17-14
2014   Providence      63   23-11
2015   Providence       5   22-11
2016   Providence      53   23-10
2017   Providence      50   20-12
2010   Purdue          65   27-5
2011   Purdue          27   25-7
2012   Purdue          31   21-12
2013   Purdue          84   15-17
2014   Purdue         102   15-17
2015   Purdue          62   21-12
2016   Purdue          34   26-8
2017   Purdue          61   25-7
2010   Quinnipiac     321   23-9
2011   Quinnipiac     304   22-9
2012   Quinnipiac     221   18-13
2013   Quinnipiac     165   15-16
2014   Quinnipiac     172   20-11
2015   Quinnipiac     261   15-15
2016   Quinnipiac     246   9-21
2017   Quinnipiac     215   10-21
2010   Radford        232   19-12
2011   Radford        218   2-24
2012   Radford        226   4-26
2013   Radford         334   10-19
2014   Radford         349   18-12
2015   Radford         273   18-11
2016   Radford         175   14-15
2017   Radford         206   12-18
2010   Rhode Island     75   23-9
2011   Rhode Island    126   19-13
2012   Rhode Island    115   7-24
2013   Rhode Island     51   8-21
2014   Rhode Island     87   13-18
2015   Rhode Island    144   21-9
2016   Rhode Island     89   17-15
2017   Rhode Island     42   24-9
2010   Rice            223   8-23
2011   Rice             98   12-18
2012   Rice            168   14-15
2013   Rice            141   4-25
2014   Rice            144   5-23
2015   Rice            160   10-19
2016   Rice            202   10-20
2017   Rice            290   20-11
2010   Richmond         63   26-8
2011   Richmond        141   27-7
2012   Richmond         90   16-16
2013   Richmond         80   18-14
2014   Richmond         58   19-14
2015   Richmond         31   19-13
2016   Richmond         71   16-16
2017   Richmond         94   20-12
2010   Rider           132   17-16
2011   Rider           222   23-10
2012   Rider           140   13-19
2013   Rider           162   18-14
2014   Rider           179   14-17
2015   Rider           285   21-11
2016   Rider           228   13-20
2017   Rider           311   18-15
2010   Robert Morris   255   23-11
2011   Robert Morris   118   18-14
2012   Robert Morris   233   24-10
2013   Robert Morris   290   23-10
2014   Robert Morris   238   21-13
2015   Robert Morris        235   19-14
2016   Robert Morris        263   10-22
2017   Robert Morris        262   14-19
2010   Rutgers               83   15-17
2011   Rutgers               73   15-17
2012   Rutgers               71   14-18
2013   Rutgers               59   15-16
2014   Rutgers               46   11-21
2015   Rutgers               24   10-22
2016   Rutgers              115   6-25
2017   Rutgers              109   14-18
2010   Sacramento St.       257   9-21
2011   Sacramento St.       271   5-21
2012   Sacramento St.       328   8-18
2013   Sacramento St.       331   12-15
2014   Sacramento St.       285   12-16
2015   Sacramento St.       271   18-11
2016   Sacramento St.       294   12-17
2017   Sacramento St.       318   11-18
2010   Sacred Heart         334   14-15
2011   Sacred Heart         320   11-18
2012   Sacred Heart         256   14-18
2013   Sacred Heart         152   9-20
2014   Sacred Heart         323   5-26
2015   Sacred Heart         282   14-17
2016   Sacred Heart         291   12-18
2017   Sacred Heart         333   13-19
2010   Saint Francis (PA)   278   11-19
2011   Saint Francis (PA)   167   9-21
2012   Saint Francis (PA)   200   6-23
2013   Saint Francis (PA)   207   5-24
2014   Saint Francis (PA)   296   10-21
2015   Saint Francis (PA)   247   15-15
2016   Saint Francis (PA)   292   12-17
2017   Saint Francis (PA)   337   15-16
2010   Saint Joseph's        52   11-20
2011   Saint Joseph's        52   11-22
2012   Saint Joseph's        42   20-13
2013   Saint Joseph's        96   18-13
2014   Saint Joseph's        50   24-9
2015   Saint Joseph's       105   13-18
2016   Saint Joseph's        51   27-7
2017   Saint Joseph's     87   11-20
2010   Saint Louis       113   20-11
2011   Saint Louis        51   11-19
2012   Saint Louis        99   24-7
2013   Saint Louis        36   27-6
2014   Saint Louis        68   25-6
2015   Saint Louis       146   10-21
2016   Saint Louis        81   11-21
2017   Saint Louis       142   12-21
2010   Saint Peter's     205   16-14
2011   Saint Peter's     135   20-13
2012   Saint Peter's     156   5-26
2013   Saint Peter's     245   9-21
2014   Saint Peter's     253   14-17
2015   Saint Peter's     297   16-18
2016   Saint Peter's     211   14-16
2017   Saint Peter's     184   19-13
2010   Sam Houston St.   186   25-7
2011   Sam Houston St.   189   14-13
2012   Sam Houston St.   224   9-19
2013   Sam Houston St.   259   14-17
2014   Sam Houston St.   254   20-9
2015   Sam Houston St.   201   21-8
2016   Sam Houston St.   185   15-14
2017   Sam Houston St.   289   17-13
2010   Samford           203   11-20
2011   Samford           291   10-19
2012   Samford           195   9-19
2013   Samford           264   10-21
2014   Samford           319   10-20
2015   Samford           339   12-19
2016   Samford           281   12-19
2017   Samford           205   17-15
2010   San Diego         150   11-21
2011   San Diego         172   4-24
2012   San Diego         102   11-18
2013   San Diego          92   14-18
2014   San Diego         117   14-16
2015   San Diego         100   14-16
2016   San Diego         255   8-21
2017   San Diego         128   12-18
2010   San Diego St.      42   25-8
2011   San Diego St.    22   30-2
2012   San Diego St.    54   24-7
2013   San Diego St.    21   20-10
2014   San Diego St.    91   27-4
2015   San Diego St.    67   25-8
2016   San Diego St.    54   23-9
2017   San Diego St.   106   18-14
2010   San Francisco   119   12-18
2011   San Francisco    84   15-14
2012   San Francisco   163   18-13
2013   San Francisco   116   13-16
2014   San Francisco    72   19-11
2015   San Francisco    89   13-18
2016   San Francisco   254   14-15
2017   San Francisco   110   19-12
2010   San Jose St.    116   14-17
2011   San Jose St.    149   16-15
2012   San Jose St.    171   8-22
2013   San Jose St.    142   8-20
2014   San Jose St.    133   5-24
2015   San Jose St.    117   0-28
2016   San Jose St.    152   6-22
2017   San Jose St.    130   12-16
2010   Santa Clara     127   11-21
2011   Santa Clara     176   17-14
2012   Santa Clara     193   6-22
2013   Santa Clara     132   19-11
2014   Santa Clara     141   12-19
2015   Santa Clara     128   12-18
2016   Santa Clara     156   10-20
2017   Santa Clara      76   16-16
2010   Savannah St.    333   11-15
2011   Savannah St.    268   8-18
2012   Savannah St.    339   19-11
2013   Savannah St.    197   17-14
2014   Savannah St.    282   11-19
2015   Savannah St.    317   7-22
2016   Savannah St.    342   14-15
2017   Savannah St.    331   11-16
2010   Seattle         285   17-14
2011   Seattle         312   11-20
2012   Seattle         247   9-15
2013   Seattle            216   7-22
2014   Seattle            268   11-17
2015   Seattle            333   14-15
2016   Seattle            309   12-16
2017   Seattle            285   10-17
2010   Seton Hall          31   19-12
2011   Seton Hall          15   13-18
2012   Seton Hall          57   20-12
2013   Seton Hall          67   15-18
2014   Seton Hall          96   17-17
2015   Seton Hall          78   16-15
2016   Seton Hall          41   25-8
2017   Seton Hall          49   21-11
2010   SFA                299   23-9
2011   SFA                330   14-11
2012   SFA                314   16-12
2013   SFA                307   23-4
2014   SFA                295   27-2
2015   SFA                154   26-4
2016   SFA                219   23-5
2017   SFA                245   15-14
2010   Siena              124   27-6
2011   Siena              153   13-18
2012   Siena              205   14-17
2013   Siena              203   8-24
2014   Siena              196   15-17
2015   Siena              193   11-20
2016   Siena              162   21-12
2017   Siena               74   17-17
2010   SIU Edwardsville   200   5-23
2011   SIU Edwardsville   226   4-21
2012   SIU Edwardsville   299   8-17
2013   SIU Edwardsville   236   7-18
2014   SIU Edwardsville   315   9-20
2015   SIU Edwardsville   289   10-16
2016   SIU Edwardsville   192   6-22
2017   SIU Edwardsville   260   5-23
2010   SMU                126   14-17
2011   SMU                213   14-14
2012   SMU                146   11-19
2013   SMU                275   14-17
2014   SMU                128   23-9
2015   SMU                   27   26-6
2016   SMU                   67   25-5
2017   SMU                   78   30-4
2010   South Ala.           260   17-15
2011   South Ala.           306   10-16
2012   South Ala.           246   16-12
2013   South Ala.           198   16-12
2014   South Ala.           166   8-20
2015   South Ala.           208   10-21
2016   South Ala.           216   12-19
2017   South Ala.           175   12-18
2010   South Carolina        19   15-16
2011   South Carolina        77   14-16
2012   South Carolina        37   10-21
2013   South Carolina       195   14-18
2014   South Carolina        48   14-20
2015   South Carolina        39   16-16
2016   South Carolina       170   23-8
2017   South Carolina        47   21-10
2010   South Carolina St.   315   18-14
2011   South Carolina St.   326   6-22
2012   South Carolina St.   333   3-26
2013   South Carolina St.   251   4-24
2014   South Carolina St.   317   7-21
2015   South Carolina St.   328   9-22
2016   South Carolina St.   328   17-14
2017   South Carolina St.   286   9-20
2010   South Dakota         345   22-9
2011   South Dakota         345   14-15
2012   South Dakota         259   7-18
2013   South Dakota         134   8-20
2014   South Dakota         175   9-18
2015   South Dakota         255   15-16
2016   South Dakota         143   12-18
2017   South Dakota         243   20-11
2010   South Dakota St.     249   14-16
2011   South Dakota St.     282   17-12
2012   South Dakota St.     183   25-7
2013   South Dakota St.     181   22-9
2014   South Dakota St.     219   16-12
2015   South Dakota St.     227   21-10
2016   South Dakota St.     131   24-7
2017   South Dakota St.      145   16-16
2010   South Fla.             97   20-12
2011   South Fla.             17   10-23
2012   South Fla.             30   19-13
2013   South Fla.             27   12-19
2014   South Fla.            159   12-20
2015   South Fla.            104   8-23
2016   South Fla.             50   8-25
2017   South Fla.            189   7-23
2010   Southeast Mo. St.     242   7-23
2011   Southeast Mo. St.     280   9-22
2012   Southeast Mo. St.     298   13-16
2013   Southeast Mo. St.     288   15-16
2014   Southeast Mo. St.     346   16-14
2015   Southeast Mo. St.     318   11-17
2016   Southeast Mo. St.     262   3-24
2017   Southeast Mo. St.     330   13-18
2010   Southeastern La.      277   19-12
2011   Southeastern La.      300   12-14
2012   Southeastern La.      335   9-17
2013   Southeastern La.      184   11-18
2014   Southeastern La.      334   8-18
2015   Southeastern La.      336   8-23
2016   Southeastern La.      341   10-21
2017   Southeastern La.      320   14-16
2010   Southern California   100   16-14
2011   Southern California    41   19-14
2012   Southern California    93   6-26
2013   Southern California    39   14-18
2014   Southern California    51   10-21
2015   Southern California    94   12-20
2016   Southern California    36   21-12
2017   Southern California    75   24-9
2010   Southern Ill.         139   15-15
2011   Southern Ill.         143   13-19
2012   Southern Ill.         132   8-22
2013   Southern Ill.         180   13-17
2014   Southern Ill.         141   13-19
2015   Southern Ill.         249   11-21
2016   Southern Ill.         266   22-10
2017   Southern Ill.          91   16-16
2010   Southern Miss.        135   20-13
2011   Southern Miss.          87   19-10
2012   Southern Miss.          44   23-8
2013   Southern Miss.          55   23-9
2014   Southern Miss.         123   25-6
2015   Southern Miss.         123   7-20
2016   Southern Miss.         268   7-20
2017   Southern Miss.         278   7-22
2010   Southern U.            330   5-25
2011   Southern U.            331   3-24
2012   Southern U.            344   14-14
2013   Southern U.            345   20-9
2014   Southern U.            249   16-13
2015   Southern U.            281   15-17
2016   Southern U.            331   19-12
2017   Southern U.            345   13-17
2010   Southern Utah          221   7-22
2011   Southern Utah          230   10-18
2012   Southern Utah          242   12-17
2013   Southern Utah          292   9-20
2014   Southern Utah          244   1-27
2015   Southern Utah          313   9-19
2016   Southern Utah          259   4-24
2017   Southern Utah          271   4-27
2010   St. Bonaventure        123   15-16
2011   St. Bonaventure        122   16-14
2012   St. Bonaventure        125   20-11
2013   St. Bonaventure        110   14-15
2014   St. Bonaventure         69   17-15
2015   St. Bonaventure        150   18-13
2016   St. Bonaventure         82   22-8
2017   St. Bonaventure        118   20-12
2010   St. Francis Brooklyn   329   11-18
2011   St. Francis Brooklyn   301   15-15
2012   St. Francis Brooklyn   284   15-15
2013   St. Francis Brooklyn   164   12-18
2014   St. Francis Brooklyn   283   17-14
2015   St. Francis Brooklyn   315   22-11
2016   St. Francis Brooklyn   339   14-17
2017   St. Francis Brooklyn   325   3-27
2010   St. John's (NY)         25   17-15
2011   St. John's (NY)         11   21-11
2012   St. John's (NY)         46   13-19
2013   St. John's (NY)    31   16-15
2014   St. John's (NY)    49   20-12
2015   St. John's (NY)    28   20-11
2016   St. John's (NY)    38   7-24
2017   St. John's (NY)    53   14-19
2010   St. Mary's (CA)   122   26-5
2011   St. Mary's (CA)    99   23-8
2012   St. Mary's (CA)    94   25-5
2013   St. Mary's (CA)    93   26-6
2014   St. Mary's (CA)    66   21-11
2015   St. Mary's (CA)    96   20-9
2016   St. Mary's (CA)   149   26-5
2017   St. Mary's (CA)    64   28-4
2010   Stanford           88   14-18
2011   Stanford          139   15-16
2012   Stanford          152   21-11
2013   Stanford           48   18-14
2014   Stanford           20   21-12
2015   Stanford           50   19-13
2016   Stanford            7   14-15
2017   Stanford           18   13-17
2010   Stetson           268   7-22
2011   Stetson           236   8-22
2012   Stetson           169   8-20
2013   Stetson           266   14-16
2014   Stetson           292   7-24
2015   Stetson           295   6-22
2016   Stetson           285   8-22
2017   Stetson           316   8-21
2010   Stony Brook       318   22-9
2011   Stony Brook       293   14-17
2012   Stony Brook       322   21-9
2013   Stony Brook       270   23-7
2014   Stony Brook       332   22-10
2015   Stony Brook       241   21-11
2016   Stony Brook       194   24-6
2017   Stony Brook       228   18-13
2010   Syracuse           14   28-4
2011   Syracuse           34   26-7
2012   Syracuse           24   31-2
2013   Syracuse            5   26-9
2014   Syracuse           77   27-5
2015   Syracuse          44   18-13
2016   Syracuse          45   19-13
2017   Syracuse          67   18-14
2010   TCU               76   13-19
2011   TCU               93   11-22
2012   TCU               72   16-14
2013   TCU              130   10-21
2014   TCU               43   7-22
2015   TCU              116   18-15
2016   TCU               55   12-21
2017   TCU               29   18-15
2010   Temple            58   29-5
2011   Temple           108   25-7
2012   Temple            50   24-7
2013   Temple            65   23-9
2014   Temple            35   9-22
2015   Temple            56   23-10
2016   Temple            79   21-11
2017   Temple            89   16-16
2010   Tennessee         20   25-8
2011   Tennessee          2   19-14
2012   Tennessee         40   17-14
2013   Tennessee         53   20-12
2014   Tennessee         15   20-12
2015   Tennessee         49   16-16
2016   Tennessee         52   15-19
2017   Tennessee         25   15-16
2010   Tennessee St.    182   9-23
2011   Tennessee St.    241   12-16
2012   Tennessee St.    141   18-12
2013   Tennessee St.    103   16-14
2014   Tennessee St.    109   4-25
2015   Tennessee St.    225   3-26
2016   Tennessee St.    301   18-10
2017   Tennessee St.    208   15-13
2010   Tennessee Tech   181   15-17
2011   Tennessee Tech   272   17-12
2012   Tennessee Tech   158   17-13
2013   Tennessee Tech   213   10-17
2014   Tennessee Tech   232   15-16
2015   Tennessee Tech   275   10-18
2016   Tennessee Tech   199   17-11
2017   Tennessee Tech   255   10-20
2010   Texas             60   24-9
2011   Texas             14   27-7
2012   Texas             15   20-13
2013   Texas             82   16-16
2014   Texas             54   23-10
2015   Texas             16   20-13
2016   Texas              5   20-12
2017   Texas             10   11-22
2010   Texas A&M          4   23-9
2011   Texas A&M         47   23-8
2012   Texas A&M         67   13-18
2013   Texas A&M         42   18-15
2014   Texas A&M        116   17-15
2015   Texas A&M         92   20-11
2016   Texas A&M         59   26-8
2017   Texas A&M         51   16-15
2010   Texas Southern   294   17-15
2011   Texas Southern   333   19-12
2012   Texas Southern   303   15-18
2013   Texas Southern   249   17-14
2014   Texas Southern   347   18-14
2015   Texas Southern   287   22-12
2016   Texas Southern   322   18-14
2017   Texas Southern   300   23-11
2010   Texas St.        269   15-16
2011   Texas St.        238   14-15
2012   Texas St.        291   9-17
2013   Texas St.        246   11-22
2014   Texas St.        181   6-23
2015   Texas St.        180   11-17
2016   Texas St.        282   13-16
2017   Texas St.        293   18-13
2010   Texas Tech        10   17-15
2011   Texas Tech        66   13-19
2012   Texas Tech        75   8-23
2013   Texas Tech       102   11-20
2014   Texas Tech        45   14-18
2015   Texas Tech        70   13-19
2016   Texas Tech         9   19-12
2017   Texas Tech       126   18-14
2010   Toledo           163   4-28
2011   Toledo   245   3-28
2012   Toledo   305   16-16
2013   Toledo   287   15-13
2014   Toledo   149   26-6
2015   Toledo    81   20-13
2016   Toledo   217   16-15
2017   Toledo   112   16-16
2010   Towson   220   10-21
2011   Towson    97   4-26
2012   Towson    66   1-31
2013   Towson   204   17-13
2014   Towson   201   21-10
2015   Towson   303   11-20
2016   Towson   257   18-12
2017   Towson   104   19-13
2010   Troy     166   20-12
2011   Troy     136   7-21
2012   Troy     216   9-18
2013   Troy     241   12-21
2014   Troy     246   9-20
2015   Troy     314   8-19
2016   Troy     188   7-22
2017   Troy     225   20-14
2010   Tulane   191   8-22
2011   Tulane   191   10-17
2012   Tulane   268   13-16
2013   Tulane   224   18-14
2014   Tulane   211   16-16
2015   Tulane   209   14-16
2016   Tulane   133   12-22
2017   Tulane   144   6-25
2010   Tulsa     93   23-11
2011   Tulsa     55   19-13
2012   Tulsa    106   17-14
2013   Tulsa    109   16-15
2014   Tulsa     90   21-12
2015   Tulsa     93   22-9
2016   Tulsa     60   20-11
2017   Tulsa     62   15-17
2010   UAB       99   23-8
2011   UAB       74   22-8
2012   UAB       41   15-16
2013   UAB                100   15-17
2014   UAB                152   16-13
2015   UAB                101   18-15
2016   UAB                279   25-6
2017   UAB                180   16-16
2010   UALR               153   8-22
2011   UALR               209   17-16
2012   UALR               154   14-16
2013   UALR               156   16-15
2014   UALR               153   13-17
2015   UALR               272   12-18
2016   UALR               244   27-4
2017   UALR               291   13-17
2010   UC Davis           258   14-18
2011   UC Davis           234   8-20
2012   UC Davis           293   4-26
2013   UC Davis           284   14-17
2014   UC Davis           298   7-22
2015   UC Davis           304   23-6
2016   UC Davis           213   9-19
2017   UC Davis           317   20-12
2010   UC Irvine          311   14-18
2011   UC Irvine          325   12-19
2012   UC Irvine          181   10-19
2013   UC Irvine          161   18-15
2014   UC Irvine          225   21-11
2015   UC Irvine          141   19-12
2016   UC Irvine          154   23-9
2017   UC Irvine          179   19-14
2010   UC Riverside       256   12-17
2011   UC Riverside       232   10-19
2012   UC Riverside       285   12-17
2013   UC Riverside       298   4-24
2014   UC Riverside       290   8-21
2015   UC Riverside       216   12-17
2016   UC Riverside       297   12-19
2017   UC Riverside       294   6-21
2010   UC Santa Barbara   196   20-9
2011   UC Santa Barbara   204   16-13
2012   UC Santa Barbara   190   18-10
2013   UC Santa Barbara   154   9-20
2014   UC Santa Barbara   237   19-9
2015   UC Santa Barbara    83   17-13
2016   UC Santa Barbara   100   17-13
2017   UC Santa Barbara   147   5-22
2010   UCF                156   15-17
2011   UCF                 45   18-11
2012   UCF                 78   20-10
2013   UCF                119   18-11
2014   UCF                127   11-18
2015   UCF                170   11-18
2016   UCF                163   12-18
2017   UCF                 99   21-11
2010   UCLA                41   14-18
2011   UCLA                50   22-10
2012   UCLA               113   18-14
2013   UCLA                15   25-9
2014   UCLA                13   26-8
2015   UCLA                26   20-13
2016   UCLA                21   15-17
2017   UCLA                93   29-4
2010   UConn                5   17-15
2011   UConn                9   26-9
2012   UConn                2   20-13
2013   UConn               32   20-10
2014   UConn               27   26-8
2015   UConn               53   20-14
2016   UConn               40   24-10
2017   UConn               48   15-17
2014   UMass Lowell       267   9-18
2015   UMass Lowell       298   11-17
2016   UMass Lowell       260   10-18
2017   UMass Lowell       277   10-20
2010   UMBC               287   4-26
2011   UMBC               207   5-25
2012   UMBC               323   4-26
2013   UMBC               170   7-23
2014   UMBC               325   8-21
2015   UMBC               310   4-26
2016   UMBC               317   7-25
2017   UMBC               248   16-12
2010   UMES               320   11-21
2011   UMES               287   7-22
2012   UMES               263   6-23
2013   UMES             257   2-26
2014   UMES             339   5-23
2015   UMES             312   18-14
2016   UMES             315   9-22
2017   UMES             314   12-20
2010   UMKC             305   12-18
2011   UMKC             279   15-14
2012   UMKC             188   9-20
2013   UMKC             143   7-24
2014   UMKC             157   10-19
2015   UMKC             331   12-19
2016   UMKC             252   9-19
2017   UMKC             125   14-16
2010   UNC Asheville    169   15-16
2011   UNC Asheville    198   16-13
2012   UNC Asheville    192   21-9
2013   UNC Asheville    230   13-16
2014   UNC Asheville    231   14-15
2015   UNC Asheville    283   12-16
2016   UNC Asheville    239   20-11
2017   UNC Asheville    201   21-9
2010   UNC Greensboro   121   8-23
2011   UNC Greensboro   181   7-24
2012   UNC Greensboro   225   12-19
2013   UNC Greensboro   304   7-22
2014   UNC Greensboro   329   11-18
2015   UNC Greensboro   253   8-22
2016   UNC Greensboro   180   11-18
2017   UNC Greensboro   220   22-9
2010   UNCW             149   9-22
2011   UNCW             199   13-18
2012   UNCW             107   10-21
2013   UNCW             267   9-20
2014   UNCW             169   7-23
2015   UNCW             240   17-13
2016   UNCW             139   23-7
2017   UNCW             117   27-5
2010   UNI              120   28-4
2011   UNI              120   18-13
2012   UNI               45   18-13
2013   UNI               34   17-14
2014   UNI               89   15-15
2015   UNI            121   30-3
2016   UNI             84   21-12
2017   UNI            102   13-16
2010   UNLV           107   25-8
2011   UNLV            31   24-8
2012   UNLV            36   24-8
2013   UNLV            17   24-9
2014   UNLV           107   20-13
2015   UNLV            75   17-15
2016   UNLV           117   16-15
2017   UNLV           137   11-21
2010   USC Upstate    213   6-23
2011   USC Upstate    187   5-25
2012   USC Upstate    252   18-12
2013   USC Upstate    273   14-17
2014   USC Upstate    259   17-14
2015   USC Upstate    343   19-11
2016   USC Upstate    274   7-21
2017   USC Upstate    295   13-15
2010   UT Arlington   248   16-14
2011   UT Arlington   295   9-16
2012   UT Arlington   290   23-8
2013   UT Arlington   137   19-13
2014   UT Arlington   190   13-17
2015   UT Arlington   203   15-15
2016   UT Arlington   240   22-10
2017   UT Arlington   133   23-8
2010   UT Martin      251   4-25
2011   UT Martin      275   10-21
2012   UT Martin      202   2-27
2013   UT Martin      256   7-21
2014   UT Martin      304   6-23
2015   UT Martin      307   16-12
2016   UT Martin      338   17-14
2017   UT Martin      305   19-12
2010   Utah            95   14-17
2011   Utah            20   12-18
2012   Utah            59   5-25
2013   Utah            60   13-18
2014   Utah           105   19-11
2015   Utah            33   23-8
2016   Utah             6   25-8
2017   Utah          120   18-11
2010   Utah St.       90   27-7
2011   Utah St.      112   29-3
2012   Utah St.      111   16-15
2013   Utah St.      167   20-10
2014   Utah St.      103   17-14
2015   Utah St.      168   17-13
2016   Utah St.      108   14-15
2017   Utah St.       92   13-17
2010   Utah Valley   347   12-18
2011   Utah Valley   343   15-11
2012   Utah Valley   340   16-12
2013   Utah Valley   324   10-18
2014   Utah Valley   263   18-11
2015   Utah Valley   293   9-19
2016   Utah Valley   234   9-18
2017   Utah Valley   198   12-16
2010   UTEP          111   26-6
2011   UTEP          106   24-9
2012   UTEP           65   15-17
2013   UTEP           61   18-14
2014   UTEP          145   21-10
2015   UTEP          129   22-10
2016   UTEP          284   18-14
2017   UTEP          188   14-17
2010   UTRGV         306   6-27
2011   UTRGV         323   3-25
2012   UTRGV         257   7-21
2013   UTRGV         346   12-16
2014   UTRGV         287   8-23
2015   UTRGV         327   7-21
2016   UTRGV         246   5-22
2017   UTRGV         217   7-22
2010   UTSA          290   19-11
2011   UTSA          294   16-13
2012   UTSA          289   16-14
2013   UTSA          200   10-22
2014   UTSA          174   6-21
2015   UTSA          259   12-16
2016   UTSA          312   4-26
2017   UTSA          273   12-19
2010   Valparaiso    143   15-17
2011   Valparaiso   111   21-11
2012   Valparaiso   157   20-11
2013   Valparaiso   158   25-7
2014   Valparaiso   205   15-15
2015   Valparaiso   256   25-5
2016   Valparaiso   161   24-6
2017   Valparaiso   204   23-8
2010   Vanderbilt    27   24-8
2011   Vanderbilt    16   23-10
2012   Vanderbilt     6   24-10
2013   Vanderbilt    50   16-17
2014   Vanderbilt    75   15-16
2015   Vanderbilt   119   18-13
2016   Vanderbilt    42   19-13
2017   Vanderbilt     1   19-15
2010   VCU          142   22-9
2011   VCU           78   23-11
2012   VCU          180   28-6
2013   VCU           33   26-8
2014   VCU           26   26-8
2015   VCU            8   26-9
2016   VCU           61   24-10
2017   VCU           44   26-8
2010   Vermont      313   25-9
2011   Vermont      227   23-8
2012   Vermont      248   23-11
2013   Vermont      228   21-11
2014   Vermont      210   20-10
2015   Vermont      300   17-13
2016   Vermont      177   20-13
2017   Vermont      181   28-5
2010   Villanova     32   24-7
2011   Villanova     39   21-11
2012   Villanova     11   13-19
2013   Villanova     24   19-13
2014   Villanova     40   28-4
2015   Villanova     30   32-2
2016   Villanova     13   29-5
2017   Villanova     26   31-3
2010   Virginia      54   15-16
2011   Virginia     125   16-15
2012   Virginia      97   22-9
2013   Virginia        125   21-11
2014   Virginia         23   28-6
2015   Virginia         21   29-3
2016   Virginia          2   26-7
2017   Virginia          4   22-10
2010   Virginia Tech   162   23-8
2011   Virginia Tech    82   21-11
2012   Virginia Tech    35   16-17
2013   Virginia Tech    88   13-19
2014   Virginia Tech    83   9-22
2015   Virginia Tech    86   11-22
2016   Virginia Tech    49   19-14
2017   Virginia Tech    77   22-10
2010   VMI             233   10-19
2011   VMI             267   14-13
2012   VMI             328   14-16
2013   VMI             338   11-17
2014   VMI             316   15-12
2015   VMI             252   9-19
2016   VMI             224   6-21
2017   VMI             173   4-24
2010   Wagner          250   5-26
2011   Wagner          117   13-17
2012   Wagner          271   25-6
2013   Wagner          193   19-12
2014   Wagner          337   18-12
2015   Wagner          236   9-20
2016   Wagner          335   21-10
2017   Wagner          324   15-14
2010   Wake Forest      28   19-10
2011   Wake Forest     109   8-24
2012   Wake Forest     119   13-18
2013   Wake Forest      83   13-18
2014   Wake Forest      82   17-16
2015   Wake Forest      34   13-19
2016   Wake Forest      44   11-20
2017   Wake Forest      22   19-13
2010   Washington       71   24-9
2011   Washington       48   23-10
2012   Washington       84   21-10
2013   Washington       40   18-15
2014   Washington       64   17-15
2015   Washington        90   16-15
2016   Washington        39   18-14
2017   Washington        38   9-22
2010   Washington St.   163   16-15
2011   Washington St.    89   19-12
2012   Washington St.   178   14-16
2013   Washington St.   101   13-19
2014   Washington St.    80   9-21
2015   Washington St.    84   13-18
2016   Washington St.    30   8-22
2017   Washington St.    46   12-18
2010   Weber St.        130   20-10
2011   Weber St.        195   15-13
2012   Weber St.        223   22-6
2013   Weber St.        272   24-6
2014   Weber St.        247   17-11
2015   Weber St.        245   11-17
2016   Weber St.        293   23-8
2017   Weber St.        249   17-13
2010   West Virginia      3   27-6
2011   West Virginia      4   20-11
2012   West Virginia     22   19-13
2013   West Virginia     58   13-19
2014   West Virginia     53   17-15
2015   West Virginia     43   23-9
2016   West Virginia     17   26-8
2017   West Virginia     66   26-8
2010   Western Caro.    240   22-11
2011   Western Caro.    255   17-15
2012   Western Caro.    267   15-18
2013   Western Caro.    238   12-19
2014   Western Caro.    294   16-15
2015   Western Caro.    246   13-17
2016   Western Caro.    110   13-17
2017   Western Caro.    139   7-23
2010   Western Ill.     304   13-17
2011   Western Ill.     308   4-23
2012   Western Ill.     129   14-14
2013   Western Ill.     302   20-8
2014   Western Ill.     206   7-20
2015   Western Ill.     226   6-20
2016   Western Ill.     191   7-17
2017   Western Ill.     266   6-20
2010   Western Ky.      194   21-13
2011   Western Ky.      215   16-16
2012   Western Ky.      135   15-18
2013   Western Ky.      169   19-15
2014   Western Ky.      192   19-12
2015   Western Ky.      155   18-12
2016   Western Ky.      109   16-16
2017   Western Ky.      274   15-17
2010   Western Mich.    138   18-15
2011   Western Mich.    299   19-12
2012   Western Mich.    133   13-20
2013   Western Mich.    221   19-12
2014   Western Mich.    148   22-9
2015   Western Mich.    178   18-13
2016   Western Mich.     98   11-19
2017   Western Mich.    122   15-16
2010   Wichita St.      108   25-9
2011   Wichita St.      101   23-8
2012   Wichita St.       47   26-5
2013   Wichita St.       95   26-8
2014   Wichita St.       88   33-0
2015   Wichita St.      102   27-4
2016   Wichita St.      104   23-8
2017   Wichita St.      159   29-4
2010   William & Mary   105   22-10
2011   William & Mary    91   9-22
2012   William & Mary   147   5-26
2013   William & Mary   311   12-17
2014   William & Mary   189   19-12
2015   William & Mary   123   18-12
2016   William & Mary    64   18-11
2017   William & Mary    97   15-14
2010   Winston-Salem    295   12-17
2010   Winthrop         226   19-13
